"","layer","level","class","id","metric","value","plot_id","percentage_inside"
"116",1,"class",22,NA,"pland",0.0475873227372228,468,59.179398884597
"117",1,"class",33,NA,"pland",98.6390025697154,468,59.179398884597
"118",1,"class",6,NA,"pland",0.661419959812458,503,67.2932417610726
"119",1,"class",12,NA,"pland",0.00837240455458808,503,67.2932417610726
"120",1,"class",19,NA,"pland",0.00837240455458808,503,67.2932417610726
"121",1,"class",33,NA,"pland",99.3218352310784,503,67.2932417610726
"122",1,"class",6,NA,"pland",0.474166121648136,506,68.9033274108873
"123",1,"class",19,NA,"pland",0.0163505559189012,506,68.9033274108873
"124",1,"class",33,NA,"pland",99.509483322433,506,68.9033274108873
"125",1,"class",6,NA,"pland",1.4100766883813,545,68.315943098533
"126",1,"class",19,NA,"pland",0.0164921250103076,545,68.315943098533
"127",1,"class",33,NA,"pland",98.5734311866084,545,68.315943098533
"128",1,"class",6,NA,"pland",0.377470944670706,549,56.69789683417
"129",1,"class",11,NA,"pland",0.029800337737161,549,56.69789683417
"130",1,"class",33,NA,"pland",99.5927287175921,549,56.69789683417
"131",1,"class",6,NA,"pland",1.08036110700015,584,76.1340471298451
"132",1,"class",11,NA,"pland",0.147994672191801,584,76.1340471298451
"133",1,"class",12,NA,"pland",0.0295989344383602,584,76.1340471298451
"134",1,"class",19,NA,"pland",0.0147994672191801,584,76.1340471298451
"135",1,"class",33,NA,"pland",98.7272458191505,584,76.1340471298451
"136",1,"class",6,NA,"pland",1.81080471861147,586,74.9701100531182
"137",1,"class",11,NA,"pland",0.270493650912916,586,74.9701100531182
"138",1,"class",12,NA,"pland",0.172815388083252,586,74.9701100531182
"139",1,"class",19,NA,"pland",0.0225411375760763,586,74.9701100531182
"140",1,"class",22,NA,"pland",0.00751371252535878,586,74.9701100531182
"141",1,"class",33,NA,"pland",97.7158313922909,586,74.9701100531182
"142",1,"class",6,NA,"pland",0.745959386655615,588,67.9546444657493
"143",1,"class",11,NA,"pland",0.0911728139245752,588,67.9546444657493
"144",1,"class",12,NA,"pland",0.0745959386655615,588,67.9546444657493
"145",1,"class",19,NA,"pland",0.00828843762950684,588,67.9546444657493
"146",1,"class",22,NA,"pland",0.00828843762950684,588,67.9546444657493
"147",1,"class",33,NA,"pland",99.0716949854952,588,67.9546444657493
